Movie Name,Name,Year
AA AB LAUT CHALEN (1999),AA AB LAUT CHALEN,1999
AA GALE LAG JA (1973),AA GALE LAG JA,1973
AA GALE LAG JA (1994),AA GALE LAG JA,1994
AABE HAYAT (1933),AABE HAYAT,1933
AABE HAYAT (1955),AABE HAYAT,1955
AABROO (1956),AABROO,1956
AABROO (1968),AABROO,1968
AABSHAR (1953),AABSHAR,1953
AADAT SE MAJBOOR (1982),AADAT SE MAJBOOR,1982
AADHA DIN AADHI RAAT (1977),AADHA DIN AADHI RAAT,1977
AADHA DIN AADHI RAAT (1977),AADHA DIN AADHI RAAT,1977
AADHI RAAT (1950),AADHI RAAT,1950
AADHI RAAT KE BAAD (1965),AADHI RAAT KE BAAD,1965
AADHI ROTI (1957),AADHI ROTI,1957
AADIYUG (1978),AADIYUG,1978
AADMI (1939),AADMI,1939
AADMI (1957),AADMI,1957
AADMI (1968),AADMI,1968
AADMI (1993),AADMI,1993
AADMI AUR APSARA (1991),AADMI AUR APSARA,1991
AADMI AUR INSAAN (1969),AADMI AUR INSAAN,1969
AADMI KHILONA HAI (1993),AADMI KHILONA HAI,1993
AADMI SADAK KA (1977),AADMI SADAK KA,1977
AAFAT (1977),AAFAT,1977
AAFAT (1977),AAFAT,1977
AAG (1967),AAG,1967
AAG (1994),AAG,1994
AAG AUR CHINGARI (1994),AAG AUR CHINGARI,1994
AAG AUR DAAG (1970),AAG AUR DAAG,1970
AAG AUR SHOLA (1986),AAG AUR SHOLA,1986
AAG AUR TEZAAB (1998),AAG AUR TEZAAB,1998
AAG HI AAG (1987),AAG HI AAG,1987
AAG KA DARIYA (1953),AAG KA DARIYA,1953
AAG KA GOLA (1989),AAG KA GOLA,1989
AAG KA TOOFAN (1993),AAG KA TOOFAN,1993
AAG KE SHOLAY (1988),AAG KE SHOLAY,1988
AAG LAGA DO SAWAN KO (1991),AAG LAGA DO SAWAN KO,1991
AAG SE KHELEN GE (1989),AAG SE KHELEN GE,1989
AAGAMAN (1984),AAGAMAN,1984
AAGE BADHO (1973),AAGE BADHO,1973
AAGE KADAM (1943),AAGE KADAM,1943
AAGE KI SOCH (1988),AAGE KI SOCH,1988
AAGE MODE HAI (1987),AAGE MODE HAI,1987
AAGHAT (1985),AAGHAT,1985
AAH (1953),AAH,1953
AAHAT (1974),AAHAT,1974
AAHUTI (1950),AAHUTI,1950
AAHUTI (1978),AAHUTI,1978
AAINA (1974),AAINA,1974
AAINA (1993),AAINA,1993
AAJ (1990),AAJ,1990
AAJ AUR KAL (1947),AAJ AUR KAL,1947
AAJ AUR KAL (1963),AAJ AUR KAL,1963
AAJ KA ARJUN (1990),AAJ KA ARJUN,1990
AAJ KA DADA (1985),AAJ KA DADA,1985
AAJ KA DAUR (1985),AAJ KA DAUR,1985
AAJ KA GANG LEADER (1993),AAJ KA GANG LEADER,1993
AAJ KA GUNDA (1992),AAJ KA GUNDA,1992
AAJ KA GUNDA RAAJ (1992),AAJ KA GUNDA RAAJ,1992
AAJ KA HINDUSTAN (1940),AAJ KA HINDUSTAN,1940
AAJ KA M.L.A. RAMAVTAR (1984),AAJ KA M.L.A. RAMAVTAR,1984
AAJ KA MAHATMA (1976),AAJ KA MAHATMA,1976
AAJ KA ROBINHOOD (1987),AAJ KA ROBINHOOD,1987
AAJ KA SAMSON (1991),AAJ KA SAMSON,1991
AAJ KA YE GHAR (1976),AAJ KA YE GHAR,1976
AAJ KAL (1934),AAJ KAL,1934
AAJ KE ANGAAREY (1988),AAJ KE ANGAAREY,1988
AAJ KE SHAHANSHAH (1990),AAJ KE SHAHANSHAH,1990
AAJ KI AURAT (1993),AAJ KI AURAT,1993
AAJ KI BAAT (1955),AAJ KI BAAT,1955
AAJ KI DUNIYA (1940),AAJ KI DUNIYA,1940
AAJ KI FARIYAAD (1948),AAJ KI FARIYAAD,1948
AAJ KI FARIYAAD (1948),AAJ KI FARIYAAD,1948
AAJ KI TAAQAT (1993),AAJ KI TAAQAT,1993
AAJ KI TAZA KHABAR (1974),AAJ KI TAZA KHABAR,1974
AAJ Kl AWAAZ (1984),AAJ Kl AWAAZ,1984
AAJ Kl DHARA (1979),AAJ Kl DHARA,1979
AAJ MERI JAAN (1993),AAJ MERI JAAN,1993
AAJA RE O SAJNA (1994),AAJA RE O SAJNA,1994
AAJA SANAM (1975),AAJA SANAM,1975
AAJA SANAM (1994),AAJA SANAM,1994
AAKARSHAN (1988),AAKARSHAN,1988
AAKASH (1952),AAKASH,1952
AAKASH (1953),AAKASH,1953
AAKASH DEEP (1965),AAKASH DEEP,1965
AAKHIR KYON (1985),AAKHIR KYON,1985
AAKHRI ADALAT (1988),AAKHRI ADALAT,1988
AAKHRI BAAZI (1989),AAKHRI BAAZI,1989
AAKHRI CHEEKH (1990),AAKHRI CHEEKH,1990
AAKHRI CHETAWANI (1993),AAKHRI CHETAWANI,1993
AAKHRI DAKU (1978),AAKHRI DAKU,1978
AAKHRI DAO (1958),AAKHRI DAO,1958
AAKHRI DAO (1975),AAKHRI DAO,1975
AAKHRI GHULAM (1989),AAKHRI GHULAM,1989
AAKHRI GOLI (1977),AAKHRI GOLI,1977
AAKHRI INSAAF (1980),AAKHRI INSAAF,1980
AAKHRI KASAM (1979),AAKHRI KASAM,1979
AAKHRI KHAT (1966),AAKHRI KHAT,1966
AAKHRI MUJRA (1981),AAKHRI MUJRA,1981
AAKHRI MUQABLA (1990),AAKHRI MUQABLA,1990
AAKHRI NISHCHAY (1988),AAKHRI NISHCHAY,1988
AAKHRI RAASTA (1986),AAKHRI RAASTA,1986
AAKRAMAN (1975),AAKRAMAN,1975
AAKRANT (1973),AAKRANT,1973
AAKROSH (1980),AAKROSH,1980
AAKROSH (1998),AAKROSH,1998
AALHAUDAL (1962),AALHAUDAL,1962
AALINGAN (1974),AALINGAN,1974
AAMNE SAMNE (1967),AAMNE SAMNE,1967
AAMNE SAMNE (1982),AAMNE SAMNE,1982
AAN (1952),AAN,1952
AAN AUR SHAAN (1984),AAN AUR SHAAN,1984
AAN BAAN (1956),AAN BAAN,1956
AAN BAAN (1972),AAN BAAN,1972
AAN MILO SAJNA (1970),AAN MILO SAJNA,1970
AANCHAL (1960),AANCHAL,1960
AANCHAL (1980),AANCHAL,1980
AANCHAL KE PHOOL (1968),AANCHAL KE PHOOL,1968
AANDHI (1943),AANDHI,1943
AANDHI (1975),AANDHI,1975
AANDHI AUR TOOFAN (1964),AANDHI AUR TOOFAN,1964
AANDHI TOOFAN (1985),AANDHI TOOFAN,1985
AANDHIYAN (1952),AANDHIYAN,1952
AANDHIYAN (1990),AANDHIYAN,1990
AANGAN (1959),AANGAN,1959
AANGAN (1974),AANGAN,1974
AANGAN Kl KALI (1979),AANGAN Kl KALI,1979
AANKH KA NASHA (1933),AANKH KA NASHA,1933
AANKH KA NASHA (1956),AANKH KA NASHA,1956
AANKH KA TARA (1978),AANKH KA TARA,1978
AANKH Kl SHARAM (1943),AANKH Kl SHARAM,1943
AANKH MICHOLI (1963),AANKH MICHOLI,1963
AANKH MICHOLI (1972),AANKH MICHOLI,1972
AANKHEN (1950),AANKHEN,1950
AANKHEN (1968),AANKHEN,1968
AANKHEN (1993),AANKHEN,1993
AANKHIN DEKHI (1978),AANKHIN DEKHI,1978
AANKHON AANKHON MEIN (1972),AANKHON AANKHON MEIN,1972
AANKHON MEIN TUM HO (1997),AANKHON MEIN TUM HO,1997
AANSOO (1953),AANSOO,1953
AANSOO AUR MUSKAN (1970),AANSOO AUR MUSKAN,1970
AANSOO BAN GAYE PHOOL (1969),AANSOO BAN GAYE PHOOL,1969
AANSOO BANE ANGAAREY (1993),AANSOO BANE ANGAAREY,1993
AAO PYAR KAREN (1964),AAO PYAR KAREN,1964
AAO PYAR KAREN (1983),AAO PYAR KAREN,1983
AAO PYAR KAREN (1994),AAO PYAR KAREN,1994
AAP AYE BAHAAR AAYEE (1971),AAP AYE BAHAAR AAYEE,1971
AAP KA PYAR (1991),AAP KA PYAR,1991
AAP KE DEEWANE (1980),AAP KE DEEWANE,1980
AAP KE SATH (1986),AAP KE SATH,1986
AAP Kl KHATIR (1977),AAP Kl KHATIR,1977
AAP Kl MARZI (1939),AAP Kl MARZI,1939
AAP Kl PARCHHAIYAN (1964),AAP Kl PARCHHAIYAN,1964
AAP TO AISE NA THE (1980),AAP TO AISE NA THE,1980
AAPAS Kl BAAT (1982),AAPAS Kl BAAT,1982
AAPBEETI (1948),AAPBEETI,1948
AAPBEETI (1976),AAPBEETI,1976
AAR PAAR (1954),AAR PAAR,1954
AAR PAAR (1985),AAR PAAR,1985
AAR YA PAAR (1997),AAR YA PAAR,1997
AARAM (1951),AARAM,1951
AAROHAN (1985),AAROHAN,1985
AAROP (1974),AAROP,1974
AARTI (1962),AARTI,1962
AAS (1953),AAS,1953
AAS KA PANCHHI (1962),AAS KA PANCHHI,1962
AAS PAAS (1981),AAS PAAS,1981
AASHIANA (1986),AASHIANA,1986
AASHIANA(1952),AASHIANA,1952
AASHIQ (1962),AASHIQ,1962
AASHIQ AWARA (1993),AASHIQ AWARA,1993
AASHIQ HOON BAHARON KA (1977),AASHIQ HOON BAHARON KA,1977
AASHIQUI (1990),AASHIQUI,1990
AASMAN (1952),AASMAN,1952
AASMAN (1984),AASMAN,1984
AASMAN MAHAL (1965),AASMAN MAHAL,1965
AASMAN SE GIRA (1992),AASMAN SE GIRA,1992
AASMAN SE OONCHA (1989),AASMAN SE OONCHA,1989
AASRA (1966),AASRA,1966
AASTHA (1997),AASTHA,1997
AASTIK (1956),AASTIK,1956
AATANK (1996),AATANK,1996
AATANK HI AATANK (1995),AATANK HI AATANK,1995
AATISH (1979),AATISH,1979
AATISH (1994),AATISH,1994
AAYE DIN BAHAR KE (1966),AAYE DIN BAHAR KE,1966
AAYE GAA ANEWALA (1967),AAYE GAA ANEWALA,1967
AAYEE PHIR SE BAHAR (1960),AAYEE PHIR SE BAHAR,1960
AAZMAISH (1952),AAZMAISH,1952
AAZMAISH (1995),AAZMAISH,1995
AB AAYE GA MAZAA (1984),AB AAYE GA MAZAA,1984
AB DILLI DOOR NAHIN (1957),AB DILLI DOOR NAHIN,1957
AB INSAF HOGA (1995),AB INSAF HOGA,1995
AB KYA HOGA (1977),AB KYA HOGA,1977
AB MERI BAARI (1989),AB MERI BAARI,1989
AB TO JEENE DO (1995),AB TO JEENE DO,1995
ABDULLAH (1960),ABDULLAH,1960
ABDULLAH (1980),ABDULLAH,1980
ABHI ABHI (1992),ABHI ABHI,1992
ABHI TO JEE LEIN (1977),ABHI TO JEE LEIN,1977
ABHILASHA (0-1968),ABHILASHA (0,1968
ABHIMAAN (1957),ABHIMAAN,1957
ABHIMAAN (1973),ABHIMAAN,1973
ABHIMANYU (1989),ABHIMANYU,1989
ABHINETRI (1970),ABHINETRI,1970
ABODH (1984),ABODH,1984
ABU KALIYA (1990),ABU KALIYA,1990
ACCIDENT (1965),ACCIDENT,1965
ACHANAK (1973),ACHANAK,1973
ACHANAK (1998),ACHANAK,1998
ACHCHA BURA (1972),ACHCHA BURA,1972
ACHCHA BURA (1983),ACHCHA BURA,1983
ACHCHA JI (1950),ACHCHA JI,1950
ACHHUT (1940),ACHHUT,1940
ACHHUT KANYA (1936),ACHHUT KANYA,1936
ACTOR (1951),ACTOR,1951
ACTRESS (1948),ACTRESS,1948
ACTRESS KYON BANI (1939),ACTRESS KYON BANI,1939
ADAA (1951),ADAA,1951
ADAABARZ (1943),ADAABARZ,1943
ADALAT (1948),ADALAT,1948
ADALAT (1958),ADALAT,1958
ADALAT (1978),ADALAT,1978
ADHARM (1992),ADHARM,1992
ADHIKAR (1937),ADHIKAR,1937
ADHIKAR (1954),ADHIKAR,1954
ADHIKAR (1971),ADHIKAR,1971
ADHIKAR (1986),ADHIKAR,1986
ADHURI KAHANI (1939),ADHURI KAHANI,1939
ADIL-E-JAHANGIR (1934),ADIL-E-JAHANGIR,1934
ADIL-E-JAHANGIR (1956),ADIL-E-JAHANGIR,1956
ADVENTURE OF ROBINHOOD (1965),ADVENTURE OF ROBINHOOD,1965
AFLATOON (1937),AFLATOON,1937
AFLATOON (1950),AFLATOON,1950
AFLATOON (1961),AFLATOON,1961
AFLATOON (1997),AFLATOON,1997
AFLATOON AURAT (1940),AFLATOON AURAT,1940
AFRICA (1954),AFRICA,1954
AFSANA (1951),AFSANA,1951
AFSANA (1966),AFSANA,1966
AFSANA DO DIL KA (1983),AFSANA DO DIL KA,1983
AFSANA PYAR KA (1991),AFSANA PYAR KA,1991
AFSAR (1950),AFSAR,1950
AFZAL (1933),AFZAL,1933
AGAR (1977),AGAR,1977
AGAR TUM NA HOTE (1983),AGAR TUM NA HOTE,1983
AGE BAOHO (1948),AGE BAOHO,1948
AGENT 123 (1983),AGENT 123,1983
AGENT 777 (1988),AGENT 777,1988
AGENT VINOD (1977),AGENT VINOD,1977
AGNEE (1988),AGNEE,1988
AGNEEPATH (1990),AGNEEPATH,1990
AGNI CHAKRA (1997),AGNI CHAKRA,1997
AGNI KAAL (1990),AGNI KAAL,1990
AGNI PAREEKSHA (1982),AGNI PAREEKSHA,1982
AGNI PREM (1996),AGNI PREM,1996
AGNI REKHA (1974),AGNI REKHA,1974
AGNI SAKSHI (1996),AGNI SAKSHI,1996
AGNIMORCHA (1997),AGNIMORCHA,1997
AGOSH (1953),AGOSH,1953
AGRA ROAD (1957),AGRA ROAD,1957
AGREEMENT (1980),AGREEMENT,1980
AHANKAAR (1995),AHANKAAR,1995
AHANKAAR (1995),AHANKAAR,1995
AHINSA (1979),AHINSA,1979
AHISTA AHISTA (1981),AHISTA AHISTA,1981
AHSAAS (1979),AHSAAS,1979
AIR MAIL (1960),AIR MAIL,1960
AISA BHI HOTA HAI (1971),AISA BHI HOTA HAI,1971
AISA PYAR KAHAN (1986),AISA PYAR KAHAN,1986
AISI BHI KYA JALDI HAI (1996),AISI BHI KYA JALDI HAI,1996
AITBAAR (1985),AITBAAR,1985
AIYE (1949),AIYE,1949
AJAMIL (1948),AJAMIL,1948
AJAY (1996),AJAY,1996
AJEE BUS SHUKRIYA (1958),AJEE BUS SHUKRIYA,1958
AJEEB ITTEFAQ (1989),AJEEB ITTEFAQ,1989
AJEEB LADKI (1952),AJEEB LADKI,1952
AJIT (1948),AJIT,1948
AJNABI (1966),AJNABI,1966
AJNABI (1974),AJNABI,1974
AJNABI SAAYA (1989),AJNABI SAAYA,1989
AJNABI SAAYA (1998),AJNABI SAAYA,1998
AJOOBA (1991),AJOOBA,1991
AJOOBA KUDRAT KA (1991),AJOOBA KUDRAT KA,1991
AKALMAND (1966),AKALMAND,1966
AKALMAND (1984),AKALMAND,1984
AKASH PARI (1958),AKASH PARI,1958
AKELA (1941),AKELA,1941
AKELA (1963),AKELA,1963
AKELA (1991),AKELA,1991
AKELE HUM AKELE TUM (1995),AKELE HUM AKELE TUM,1995
AKELI MAT JAIYO (1963),AKELI MAT JAIYO,1963
AKHAND SAUBHAGYAWATI (1982),AKHAND SAUBHAGYAWATI,1982
AKHRI BADLA (1990),AKHRI BADLA,1990
AL HILAL (1958),AL HILAL,1958
ALAAP (1977),ALAAP,1977
ALADIN & THE WONDERFUL LAMP(1952),ALADIN & THE WONDERFUL LAMP,1952
ALAG ALAG (1985),ALAG ALAG,1985
ALAKH NIRANJAN (1940),ALAKH NIRANJAN,1940
ALAM ARA (1931),ALAM ARA,1931
ALAM ARA (1956),ALAM ARA,1956
ALAM ARA (1973),ALAM ARA,1973
ALAM ARA Kl BETI (1960),ALAM ARA Kl BETI,1960
ALBELA (1951),ALBELA,1951
ALBELA MASTANA (1967),ALBELA MASTANA,1967
ALBELI (1955),ALBELI,1955
ALBELI (1974),ALBELI,1974
ALBERT PINTO KO GUSSA KYON AATA HAI (1980),ALBERT PINTO KO GUSSA KYON AATA HAI,1980
ALIBABA (1976),ALIBABA,1976
ALIBABA 40 THIEVES (1954),ALIBABA 40 THIEVES,1954
ALIBABA AUR 40 CHOR (1980),ALIBABA AUR 40 CHOR,1980
ALIBABA MARJINA (1977),ALIBABA MARJINA,1977
ALIF LAILA (1933),ALIF LAILA,1933
ALIF LAILA (1953),ALIF LAILA,1953
ALL ROUNDER (1984),ALL ROUNDER,1984
ALLADIN AUR JADUI CHIRAAGH (1952),ALLADIN AUR JADUI CHIRAAGH,1952
ALLAH MEHARBAN TO GADHA PAHELWAN (1997),ALLAH MEHARBAN TO GADHA PAHELWAN,1997
ALLAH RAKHA (1986),ALLAH RAKHA,1986
ALLAUDIN KA BETA (1955),ALLAUDIN KA BETA,1955
